ptero_taxa;family;suborder;;best;replace;NO GOES;suggestions;;early K;
Pteranodon_longiceps;Pteranodontia;Pterodactyloidea;;;;;;;;
Pteranodon_sternbergi;Pteranodontia;Pterodactyloidea;;;;;;;;
Pterodactylus_antiquus;Pteranodontia;Pterodactyloidea;;;;;;;;
Pterodactylus_kochi;Pteranodontia;Pterodactyloidea;;;;;;;;
Pterodaustro_guinazui;Lophocratia;Pterodactyloidea;;;;;;;;
Pterorhynchus_wellnhoferi;Rhamphorhynchidae;;;;;;;;;
Qinglongopterus_guoi;Rhamphorhynchidae;;;;;;;;;
Quetzalcoatlus_northropi;Azhdarchoidea;;;;;;;;;
Radiodactylus_langstoni;Azhdarchoidea;Pterodactyloidea;;;;;;;;
Raeticodactylus_filisurensis;Campylognathoididae;;;;;;;;;
Rhamphinion_jenkinsi;Rhamphorhynchoidea;Pterosauria;;;;;;;;
Rhamphorhynchus_muensteri;Rhamphorhynchidae;;;;;;;;;
Scaphognathus_crassirostris;Rhamphorhynchidae;;;;;;;;;
Scleromochlus_taylori;Lagerpetidae;;;;;;;;;
Sericipterus_wucaiwanensis;Rhamphorhynchidae;;;;;;;;;
Shenzhoupterus_chaoyangensis;Chaoyangopteridae;;;;;;;;;
Simurghia_robusta;Pteranodontia;Pterodactyloidea;;;;;;;;
Sinopterus_dongi;Tapejaridae;;;;;;;;;
Sinopterus_gui;Tapejaridae;;;;;;;;;
Sordes_pilosus;Rhamphorhynchidae;;;;;;;;;
Tapejara_wellnhoferi;Tapejaridae;;;;;;;;;
Tethydraco_regalis;Pteranodontidae;;;;;;;;;
Thalassodromeus_sethi;Thalassodromidae;Azhdarchoidea;;;;;;;;
Tropeognathus_mesembrinus;Anhangueridae;;;;;;;;;
Tupandactylus_imperator;Tapejaridae;;;;;;;;;
Tupandactylus_navigans;Tapejaridae;;;;;;;;;
Tupuxuara_leonardii;Thalassodromidae;Azhdarchoidea;;;;;;;;
Tupuxuara_longicristatus;Thalassodromidae;Azhdarchoidea;;;;;;;;
Vectidraco_daisymorrisae;Azhdarchoidea;Pterodactyloidea;;;;;;;;
Volgadraco_bogolubovi;Pteranodontidae;;;;;;;;;
Wukongopterus_lii;Macronychoptera;Pterosauria;;;;;;;;
Zhejiangopterus_linhaiensis;Azhdarchoidea;;;;;;;;;
