accepted_name,FAD,LAD
Cuspicephalus scarfi,154.8,152.2
Cycnorhamphus suevicus,152.2,146.3
Daohugoupterus delicatus,165.3,161.5
Darwinopterus linglongtaensis,168.2,152.2
Darwinopterus modularis,168.2,152.2
Darwinopterus robustodens,168.2,152.2
Dawndraco kanzai,89.8,83.6
Dearc sgiathanach,168.2,165.3
Dendrorhynchoides curvidentatus,125.77,119.5
Dendrorhynchoides mutoudengensis,168.2,152.2
Dimorphodon macronyx,201.4,192.9
Dimorphodon weintraubi,192.9,184.2
Domeykodactylus ceciliae,145,100.5
Dorygnathus banthensis,184.2,182
Douzhanopterus zhengi,168.2,152.2
Dromomeron gigas,227,208.5
Dromomeron gregorii,237,208.5
Dromomeron romeri,227,201.4
Dsungaripterus weii,139.8,100.5
Elanodactylus prolatus,125.77,119.5
Eoazhdarcho liaoxiensis,121.4,113
Eopteranodon lii,125.77,119.5
Eosipterus yangi,125.77,119.5
Epapatelo otyikokolo,72.1,66
Eudimorphodon ranzii,216.7,208.5
Eudimorphodon rosenfeldi,216.7,213.2
Eurazhdarcho langendorfensis,72.1,66
Eurolimnornis corneti,145,139.8
Europejara olcadesorum,125.77,121.4
Faxinalipterus minima,227,208.5
Feilongus youngi,125.77,113
Fenghuangopterus lii,168.2,152.2
Ferrodraco lentoni,100.5,89.8
Forfexopterus jeholensis,121.4,113
Gallodactylus canjuersensis,149.2,146.3
Gegepterus changi,125.77,119.5
Geosternbergia maiseyi,83.6,72.1
Germanodactylus cristatus,149.2,146.3
Germanodactylus rhamphastinus,149.2,146.3
Gladocephaloideus jingangshanensis,125.77,119.5
Gnathosaurus macrurus,145,139.8
Gnathosaurus subulatus,149.2,146.3
Guidraco venator,121.4,113
Haenamichnus uhangriensis,86.3,72.1
Hamipterus tianshanensis,125.77,119.5
Haopterus gracilis,125.77,119.5
Harpactognathus gentryii,152.2,146.3
Hatzegopteryx thambema,72.1,66
Herbstosaurus pigmaeus,149.2,145
Hongshanopterus lacustris,121.4,113
Huanhepterus quingyangensis,139.8,100.5
Huaxiapterus benxiensis,121.4,113
Huaxiapterus corollatus,121.4,113
Huaxiapterus jii,121.4,113
Iberodactylus andreui,125.77,121.4
Ikrandraco avatar,121.4,113
Istiodactylus latidens,125.77,119.5
Istiodactylus sinensis,125.77,119.5
Ixalerpeton polesinensis,237,227
Jeholopterus ningchengensis,165.3,161.5
Jianchangnathus robustus,168.2,152.2
Jianchangopterus zhaoianus,168.2,152.2
Jidapterus edentus,121.4,113
Kariridraco dianae,119.5,113
Kepodactylus insperatus,149.2,145
Keresdrakon vilsoni,121.4,72.1
Klobiodon rochei,168.2,165.3
Kongonaphon kely,242,227
Kryptodrakon progenitor,161.5,154.8
Kunpengopterus antipollicatus,168.2,152.2
Kunpengopterus sinensis,168.2,152.2
Lacusovagus magnificens,119.5,113
Lagerpeton chanarensis,242,237
Leptostomia begaaensis,100.5,93.9
Liaodactylus primus,161.5,154.8
Liaoningopterus gui,121.4,113
Liaoxipterus brachyognathus,121.4,113
Linlongopterus jennyae,121.4,113
Lonchodectes compressirostris,100.5,89.8
Lonchodectes machaerorhynchus,106.2,100.5
Lonchodectes microdon,106.2,100.5
Lonchodectes platystomus,113,100.5
Lonchodraco giganteus,100.5,89.8
Lonchognathosaurus acutirostris,119.5,100.5
Longchengpterus zhaoi,121.4,113
Ludodactylus sibbicki,119.5,113
Maaradactylus kellneri,119.5,113
Maaradactylus spielbergi,119.5,113
Mesadactylus ornithosphyos,152.2,146.3
Microtuban altivolans,100.5,93.9
Mimodactylus libanensis,100.5,93.9
Mistralazhdarcho maggii,83.6,72.1
Moganopterus zhuiana,125.77,119.5
Montanazhdarcho minor,83.6,72.1
Muzquizopteryx coahuilensis,93.9,86.3
Mythunga camara,106.2,100.5
Navajodactylus boerei,83.6,72.1
Nemicolopterus crypticus,121.4,113
Nesodactylus hesperius,157.9,154.8
Nicorhynchus capito,106.2,100.5
Nicorhynchus fluviferox,100.5,93.9
