species	Log_M	Log_W	Log_FA	Log_Warea	Log_Vmp	Log_min_power	Log_min_power_chem	Log_avail_pow	Log_min_CoT	Log_inv_CoT	Log_Vbg	Log_min_Vz	Log_min_turn_r	LAD	FAD	In_A_Clade	No_Birds
Nyctosaurus_gracilis	0.424881637	0.309630167	-1.866322219	-0.739928612	1.120158521	1.147402988	1.868001924	2.301636282	0.235613782	-0.235613723	1.127104798	-0.315153562	1.083183949	77.85	84.95	0	0
Ornithocheirus_simus	1.182324846	0.602059991	-1.188270649	0.042360092	1.157093195	2.106298666	2.800621485	2.967428863	0.367872749	-0.367872751	1.168148891	-0.174186409	1.06101404	106.5	106.5	0	0
Phosphatodraco_mauritanicus	1.612287759	0.698970004	-0.596608352	0.457607994	1.219807676	2.803618958	3.488766144	3.345366269	0.549265733	-0.549265729	1.23423176	0.01639689	1.121590388	69.05	69.05	1	0
Preondactylus_buffarinii	-1.096910013	-0.346787486	-2.554395797	-1.522878745	0.883209193	-0.131364083	0.631412515	0.963981423	0.710139799	-0.71013981	0.897627091	-0.253374518	0.440337672	207.3	218.5	0	1
Pteranodon_longiceps	1.564429327	0.77524626	-1.084072788	0.298853076	1.197429158	2.449568951	3.14010247	3.303298677	0.290656877	-0.290656928	1.206825876	-0.183915472	1.188141262	77.85	84.95	0	0
Pteranodon_sternbergi	1.479644608	0.736396502	-1.11691309	0.214710613	1.195497193	2.358313767	3.049994756	3.228772938	0.287267745	-0.287267743	1.204721617	-0.188683556	1.185913614	84.95	88.05	0	0
Pterodaustro_guinazui	-0.060480747	0.075546961	-1.935542011	-0.89279003	1.032734369	0.841607961	1.562471067	1.875002774	0.484226501	-0.484226532	1.045322979	-0.233144161	0.746794422	106.5	106.5	0	0
Pterorhynchus_wellnhoferi	-0.41690382	-0.070581074	-2.302968124	-1.079504542	0.974265554	0.530282203	1.261744782	1.561706868	0.586727562	-0.586727561	0.988750189	-0.228157181	0.62671547	154.5	165	0	1
Quetzalcoatlus_spp	2.413400361	0.984077034	0.041392685	1.055493007	1.328339231	3.738199102	4.41977737	4.049544396	0.575939932	-0.575939891	1.343408594	0.141096864	1.334057075	69.05	69.05	1	0
Raeticodactylus_filisurensis	0.159214027	0.130333768	-1.571174762	-0.671495181	1.059864721	1.19758096	1.903285218	2.06811446	0.571032882	-0.571032883	1.07448348	-0.138929888	0.796881785	205	218.5	0	1
Rhamphorhynchus_muensteri	-0.585026652	-0.050609993	-1.649751982	-1.167491087	0.902215252	0.165837625	0.932565941	1.413926942	0.502653222	-0.50265327	0.916453949	-0.376955186	0.489056347	148.5	154.5	0	1
Sericipterus_wucaiwanensis	0.07466511	0.146128036	-1.505403181	-0.701696844	1.017243542	1.011049244	1.726649073	1.993795963	0.524996623	-0.524996624	1.031045689	-0.218394176	0.719669061	160.5	160.5	0	1
Shenzhoupterus_chaoyangensis	0.492019799	0.278753601	-1.520666999	-0.409515368	1.086562742	1.523358154	2.22336987	2.360650734	0.53570117	-0.535701169	1.100730204	-0.133042871	0.855238425	118	118	1	0
Sinopterus_dongi	-0.040958608	0.056904851	-2.005925316	-0.835647144	1.037530875	0.956394118	1.668906944	1.892162693	0.55988473	-0.559884702	1.053078443	-0.171894731	0.752643523	118	118	1	0
Sordes_pilosus	-0.853871964	-0.251811973	-2.468521083	-1.356547324	0.915657644	0.119385234	0.866448973	1.17761181	0.675648584	-0.675648598	0.931966115	-0.235342822	0.504707044	154.5	160.5	0	1
Thalassodromeus_sethi	1.834645358	0.792391689	-0.546398859	0.550220652	1.261122472	2.978532078	3.663401445	3.540818601	0.474684735	-0.474684736	1.274219337	0.002708656	1.229752447	106.5	106.5	1	0
Tropeognathus_mesembrinus	0.810137299	0.477121255	-1.482200133	-0.219937051	1.099043076	1.664217369	2.367062919	2.640276012	0.363529672	-0.363529668	1.109902932	-0.240242776	0.9426793	106.5	106.5	0	0
Tupandactylus_imperator	0.976997336	0.477121255	-1.179634167	-0.056904466	1.14171495	2.021258776	2.714028697	2.786945984	0.491215019	-0.491215019	1.155345192	-0.104030401	0.974685364	119.5	119.5	1	0
Tupuxuara_leonardii	0.909128687	0.439332694	-1.244723024	-0.125371909	1.143791773	1.964010746	2.657678975	2.727289445	0.500006747	-0.500006747	1.157331579	-0.097205092	0.982683227	106.5	106.5	1	0
Tupuxuara_longicristatus	1.364781199	0.613841822	-0.899629455	0.207326639	1.201188824	2.461728822	3.15005097	3.127808004	0.483325195	-0.483325196	1.214526219	-0.049217281	1.103659913	106.5	106.5	1	0
Volgadraco_bogolubovi	-0.773735225	-0.13667714	-2.782432853	-1.478306734	0.928598437	-0.116404138	0.688635757	1.248052068	0.423237029	-0.423237027	0.938887678	-0.429084836	0.597266759	77.85	84.95	0	0
Zhejiangopterus_linhaiensis	0.968015714	0.462397998	-1.039538456	0.011570444	1.127466991	2.091374634	2.781568408	2.779051117	0.574456668	-0.57445665	1.1430148	-0.06011754	0.931173198	77.85	77.85	1	0
