ptero_taxa;family;suborder;Input for unidentified;two groups;family.org
Thalassodromeus_sethi;Thalassodromidae;Azhdarchoidea;;Azhdarchoidea;Thalassodromidae
Tropeognathus_mesembrinus;Anhangueridae;;;;Anhangueridae
Tupandactylus_imperator;Tapejaridae;;;Azhdarchoidea;Tapejaridae
Tupandactylus_navigans;Tapejaridae;;;Azhdarchoidea;Tapejaridae
Tupuxuara_leonardii;Thalassodromidae;Azhdarchoidea;;Azhdarchoidea;Thalassodromidae
Tupuxuara_longicristatus;Thalassodromidae;Azhdarchoidea;;Azhdarchoidea;Thalassodromidae
Vectidraco_daisymorrisae;Azhdarchoidea;Pterodactyloidea;Azhdarchoidea;Azhdarchoidea;NO_FAMILY_SPECIFIED
Volgadraco_bogolubovi;Pteranodontidae;;;;Pteranodontidae
Wukongopterus_lii;Macronychoptera;Pterosauria;Macronychoptera;;NO_FAMILY_SPECIFIED
Zhejiangopterus_linhaiensis;Azhdarchidae;;;Azhdarchoidea;Azhdarchidae
