collection_no,occurrence_no,accepted_name,early_interval,late_interval,max_ma,min_ma,plng,plat,MAT,seasonal_temp,MAP,seasonal_precip
51235,504266,Eudimorphodon,Rhaetian,NA,208.5,201.4,10.5552020932042,34.4470410565352,27.03696848551435,36.4883117675781,1.0257743345694813e-5,1.120562865253304e-5
51420,506575,Agadirichnus elegans,Maastrichtian,NA,72.1,66,-9.86318354349148,22.89049999507,28.37504984537761,6.5179443359374964,1.535814631855222e-5,5.030477109357889e-5
51858,512988,Dsungaripteridae,Late Kimmeridgian,NA,152.2,149.2,17.9497595288142,43.8687161036466,19.71026509602866,37.65042114257815,2.7293582130975366e-5,2.56297198575339e-5
52090,513912,Quetzalcoatlus,Late Maastrichtian,NA,72.1,66,-81.5423762089262,36.3921707109817,22.056888834635426,31.304656982421903,1.819613536705825e-5,2.1358479898481178e-5
50310,516643,Dsungaripteridae,Late Hauterivian,Aptian,132.6,113,138.377417168939,46.044338291577,17.049826558431,15.754211425781302,4.2925764015914566e-5,3.4913828130811405e-5
50310,516644,Pterodactyloidea,Late Hauterivian,Aptian,132.6,113,138.377417168939,46.044338291577,17.049826558431,15.754211425781302,4.2925764015914566e-5,3.4913828130811405e-5
48722,516950,Azhdarchidae,Santonian,NA,86.3,83.6,NA,NA,6.7812744140625165,12.031677246093729,0,0
52161,518541,Pterosauria,Albian,NA,113,100.5,-62.7620047243198,35.738002274311,26.197704569498708,31.097808837890597,9.609332551008262e-6,1.30097923829453e-5
53921,528139,Istiodactylidae,Early Barremian,NA,125.77,121.4,9.74928481502219,30.6356413670486,26.656938171386734,8.293212890625,3.2073905913421186e-5,5.29122862644726e-5
55228,533827,Pterosauria,Campanian,NA,83.6,72.1,115.39573658061,38.582918377236,24.705522155761727,13.5155029296875,3.3219150433675785e-5,3.40416590915993e-5
55229,533830,Pterosauria,Campanian,NA,83.6,72.1,115.39573658061,38.582918377236,24.705522155761727,13.5155029296875,3.3219150433675785e-5,3.40416590915993e-5
55238,533871,Noripterus parvus,Valanginian,Barremian,139.8,121.4,102.810910297333,47.0521986366242,7.5473876953125165,44.0153198242187,2.1069271800418684e-5,2.4752921490289696e-5
28196,534654,Pterodactyloidea,Early Barremian,NA,125.77,121.4,10.0528073573323,30.347709756548,26.656938171386734,8.293212890625,3.2073905913421186e-5,5.29122862644726e-5
53041,534755,Pterosauria,Tithonian,NA,149.2,145,-62.089671279108,35.498566982856,18.42226562500001,26.888366699218697,1.0585504279940016e-5,1.7335496067971683e-5
11611,534756,Pterosauria,Kimmeridgian,Tithonian,154.8,145,-61.6654514463346,35.9231255068423,18.464095052083344,29.0371398925781,6.791933647794701e-6,6.92038133820461e-6
55329,534763,Pterodactyloidea,Tithonian,NA,149.2,145,-61.8527738071631,36.3290497108353,15.445232645670592,26.13546752929685,1.2045982998643009e-5,1.659805229792258e-5
55475,536310,Dsungaripteridae,Aptian,NA,121.4,113,120.850841220033,40.8907880505148,19.258442179362003,38.60742187500003,2.848395016978125e-5,2.89643730866374e-5
55486,536377,Pterosauria,Kimmeridgian,Tithonian,154.8,145,-53.5576177727856,38.0304387001228,25.621308898925786,35.128143310546875,2.3501335325211885e-6,1.80786639703001e-6
56047,538740,Eudimorphodon,Alaunian,NA,216.7,213.2,8.46351461266603,33.3376155008474,29.717752075195317,33.2092895507813,9.875537595386652e-6,7.88236638982196e-6
56132,539061,Pterosauria,Middle Callovian,NA,165.3,161.5,-55.7705614184621,33.7701690426514,20.714718119303402,29.07583618164063,3.76925163436681e-6,4.34498792856175e-6
46468,541897,Pterosauria,Kimmeridgian,NA,154.8,149.2,-54.5829556456086,40.8626864020266,24.02410278320314,35.32360839843745,3.2486123018316e-6,4.75461411042488e-6
14519,545309,Pterosauria,Lancian,NA,72.1,66,-78.304433372109,49.9891242054206,17.81156056722007,41.55975341796875,1.2839512010032208e-5,1.238990671481591e-5
